year,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
2012,120000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7
2018,38817,Diesel,Dealer,Manual,First Owner,27.39,1248,74.0,5
2012,120000,LPG,Individual,Manual,First Owner,21.1,814,55.2,5
2006,120000,Diesel,Individual,Manual,Third Owner,10.5,2179,120.0,8
2011,110000,Petrol,Individual,Manual,First Owner,17.6,1496,88.73,5
2018,15000,Petrol,Individual,Manual,First Owner,21.1,998,100.5,5
2015,136000,Diesel,Individual,Manual,First Owner,19.01,1461,108.45,5
2011,103000,Diesel,Individual,Manual,Third Owner,20.0,1399,68.0,5
2015,26000,Petrol,Individual,Manual,First Owner,20.73,1373,91.1,5
2014,72000,Diesel,Dealer,Manual,First Owner,26.0,1498,98.6,5
2018,7800,Petrol,Individual,Manual,First Owner,20.3,1086,68.0,5
2016,22000,Petrol,Individual,Manual,First Owner,17.8,1497,117.3,5
2017,40000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5
2000,56194,Petrol,Individual,Manual,Fourth & Above Owner,16.1,796,37.0,4
2009,54000,Petrol,Individual,Manual,First Owner,19.7,796,46.3,5
2015,101500,Diesel,Individual,Manual,Second Owner,21.14,1498,103.52,5
2018,2000,Diesel,Dealer,Automatic,First Owner,16.8,1984,150.0,5
2015,55000,Diesel,Dealer,Manual,First Owner,24.4,1120,71.0,5
2019,20000,Petrol,Dealer,Automatic,First Owner,22.37,2487,214.56,5
2015,110000,Diesel,Individual,Manual,First Owner,16.0,2179,140.0,7
2011,110000,Diesel,Individual,Manual,Second Owner,12.05,2179,120.0,8
2017,52236,Diesel,Dealer,Manual,First Owner,15.4,2179,120.0,7
2015,38000,Petrol,Individual,Automatic,Second Owner,23.95,998,67.05,5
2014,126000,Diesel,Individual,Manual,First Owner,12.05,2179,120.0,7
2015,110000,Diesel,Individual,Manual,First Owner,14.1,2179,147.94,7
2012,100000,Diesel,Individual,Manual,Second Owner,23.4,1248,74.0,5
2002,120000,Diesel,Individual,Manual,First Owner,14.07,2956,83.1,7
2007,80000,Petrol,Individual,Manual,Second Owner,18.2,1061,64.0,5
2016,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598,103.5,5
2015,60000,Petrol,Individual,Manual,First Owner,23.1,998,67.04,5
2014,70000,Diesel,Individual,Manual,First Owner,25.2,1248,74.0,5
2019,10000,Diesel,Individual,Automatic,First Owner,21.5,1497,108.5,5
2011,120000,Diesel,Individual,Manual,First Owner,23.03,1396,69.0,5
2016,50000,Diesel,Individual,Manual,First Owner,24.52,1248,88.5,7
1999,80000,Petrol,Individual,Manual,Third Owner,16.1,796,37.0,4
2014,43381,Petrol,Dealer,Manual,Second Owner,22.74,796,47.3,5
2016,40000,Diesel,Individual,Manual,First Owner,24.8,1396,88.7,5
2010,50000,Petrol,Individual,Manual,Third Owner,26.0,624,35.0,4
2019,3500,Petrol,Dealer,Automatic,First Owner,18.15,998,118.35,5
2010,30000,Petrol,Individual,Manual,First Owner,15.6,1196,70.0,5
2008,152500,Diesel,Individual,Manual,First Owner,17.8,1248,75.0,5
2018,9500,Diesel,Individual,Manual,First Owner,21.5,1497,108.5,5
2005,49455,Petrol,Individual,Manual,First Owner,19.7,796,46.3,5
2010,90000,Diesel,Individual,Manual,Second Owner,23.0,1396,90.0,5
2016,100000,Petrol,Individual,Manual,Third Owner,15.37,1196,73.0,7
2003,80000,Petrol,Individual,Manual,Third Owner,14.2,1597,92.0,5
2012,90000,Diesel,Individual,Manual,Third Owner,19.4,1405,70.0,5
2019,16500,Petrol,Dealer,Manual,First Owner,17.0,1197,110.0,5
2014,120000,Diesel,Individual,Manual,Second Owner,23.4,1248,74.0,5
2014,65000,Diesel,Individual,Manual,Second Owner,15.96,2523,62.1,7
2017,25000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5
2010,155000,Petrol,Individual,Manual,Second Owner,15.5,1586,103.3,5
2012,129627,Diesel,Dealer,Manual,First Owner,11.5,2982,171.0,7
2012,120000,Diesel,Individual,Manual,Second Owner,20.54,1598,103.6,5
2012,54000,Diesel,Individual,Manual,First Owner,20.0,1399,68.0,5
2005,100000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796,46.3,5
2014,120000,Diesel,Individual,Manual,First Owner,22.3,1248,74.0,5
2007,120000,Diesel,Individual,Manual,Third Owner,17.2,1396,53.5,5
2015,173000,Diesel,Individual,Manual,First Owner,16.0,2179,140.0,7
2011,80000,Diesel,Individual,Manual,Second Owner,12.05,2179,120.0,9
2013,57000,Petrol,Individual,Manual,Second Owner,20.51,998,67.04,5
2015,40000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5
2019,60000,Petrol,Individual,Manual,First Owner,20.14,1197,81.86,5
2016,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2,1199,88.7,5
2017,42000,Petrol,Individual,Manual,First Owner,23.84,1199,84.0,5
2006,42500,Petrol,Individual,Manual,First Owner,19.7,796,46.3,5
2017,46000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5
2014,60000,Petrol,Individual,Manual,Second Owner,19.4,1198,86.8,5
2011,100000,Diesel,Individual,Manual,First Owner,18.3,1991,147.9,5
2013,75010,Diesel,Dealer,Automatic,First Owner,13.73,1995,148.0,5
2013,110000,Diesel,Individual,Manual,Second Owner,13.7,2179,138.1,7
2017,60000,Diesel,Individual,Manual,First Owner,21.38,1396,88.7,5
2019,20000,Diesel,Individual,Automatic,First Owner,18.0,1969,190.0,5
2011,120000,Diesel,Individual,Manual,Fourth & Above Owner,13.6,2523,63.0,7
2020,5000,Petrol,Individual,Manual,First Owner,22.05,796,47.3,5
2012,80000,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,5
2008,100000,Petrol,Individual,Manual,Third Owner,17.3,1061,64.0,5
2013,35000,Diesel,Individual,Automatic,Second Owner,17.68,1968,174.33,5
2016,54000,Diesel,Individual,Manual,Second Owner,24.52,1248,88.5,7
2017,120000,Diesel,Individual,Manual,First Owner,18.49,1493,100.0,7
2010,35000,Petrol,Individual,Automatic,Second Owner,10.93,2497,204.0,5
2017,8000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5
2016,80000,Diesel,Individual,Manual,First Owner,26.0,1498,98.6,5
2019,15000,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,5
2011,70000,Petrol,Individual,Manual,First Owner,16.36,1495,93.7,5
2012,116000,Petrol,Individual,Manual,First Owner,15.0,1598,103.5,5
2014,40000,Petrol,Individual,Manual,First Owner,19.0,998,66.1,5
2012,120000,Diesel,Individual,Manual,Third Owner,19.09,1396,69.0,5
2017,41000,Diesel,Dealer,Manual,First Owner,20.5,1582,126.2,5
2016,49900,Petrol,Dealer,Manual,First Owner,16.3,1797,147.5,5
2015,80000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5
2019,10000,Petrol,Individual,Manual,First Owner,19.0,1194,94.68,5
2017,32331,Diesel,Individual,Manual,Second Owner,22.54,1396,88.73,5
2013,79328,Diesel,Trustmark Dealer,Manual,Second Owner,12.99,2494,100.6,7
2014,26000,Petrol,Individual,Automatic,First Owner,19.34,1198,76.0,5
2017,60000,Diesel,Individual,Manual,Second Owner,16.55,2498,105.0,6
2019,7500,Petrol,Individual,Automatic,First Owner,21.21,1197,81.8,5
2015,170000,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,7
2014,100000,Petrol,Individual,Manual,First Owner,19.81,1086,68.05,5
2015,50000,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,8
2015,126000,Diesel,Individual,Manual,First Owner,21.19,1396,88.73,5
2009,214000,Petrol,Individual,Manual,Second Owner,13.9,1599,103.2,5
2014,110000,Diesel,Individual,Manual,Second Owner,26.0,1498,98.6,5
2009,56000,Petrol,Dealer,Manual,Second Owner,19.3,1248,82.0,5
2009,70000,Petrol,Individual,Manual,Third Owner,19.7,796,46.3,5
2018,35000,Petrol,Individual,Manual,First Owner,20.3,1199,84.0,5
2018,5000,Petrol,Individual,Manual,First Owner,22.0,1197,81.8,5
2005,140000,Petrol,Individual,Manual,Second Owner,18.9,998,67.1,5
2003,120000,Diesel,Individual,Manual,Second Owner,10.5,2179,120.0,7
2017,55000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5
2009,105000,Petrol,Individual,Automatic,Second Owner,12.9,1799,130.0,5
2016,20000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5
2012,120000,Diesel,Individual,Manual,Second Owner,19.0,1405,71.0,5
2013,44500,Diesel,Individual,Manual,Second Owner,20.46,1461,83.8,5
2017,32000,Diesel,Dealer,Manual,First Owner,24.3,1248,88.5,5
2015,110000,Diesel,Individual,Manual,First Owner,21.64,1461,84.8,5
2017,20000,Diesel,Individual,Manual,First Owner,14.1,2179,147.94,7
2018,17000,Diesel,Individual,Manual,First Owner,23.0,1498,98.96,5
2016,49600,Diesel,Individual,Manual,Second Owner,25.32,1198,77.0,6
2016,13500,Petrol,Individual,Manual,First Owner,18.9,1197,82.0,5
2016,46000,Diesel,Dealer,Automatic,First Owner,18.25,1968,187.74,5
2011,90000,Diesel,Individual,Manual,Second Owner,20.0,1399,68.0,5
2014,139000,Diesel,Individual,Automatic,First Owner,11.79,2179,120.0,8
2017,77524,Diesel,Dealer,Manual,First Owner,22.7,1498,89.84,5
2013,37500,Diesel,Individual,Manual,Second Owner,20.77,1248,88.8,7
2015,40000,Petrol,Dealer,Manual,First Owner,18.9,1197,82.0,5
2013,120000,Diesel,Individual,Manual,First Owner,21.64,1461,84.8,5
2018,22000,Diesel,Individual,Manual,First Owner,21.03,1461,65.0,5
2010,70000,Petrol,Individual,Manual,Third Owner,14.7,1150,76.0,5
2016,60000,Petrol,Individual,Manual,Second Owner,20.85,1197,83.14,5
2014,78000,Diesel,Dealer,Manual,Second Owner,15.05,2179,147.9,7
2012,31000,Petrol,Individual,Manual,First Owner,18.9,998,67.1,5
2015,72000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5
2017,90000,Petrol,Individual,Manual,First Owner,15.37,1196,73.0,5
2017,68000,Petrol,Individual,Manual,Second Owner,23.84,1199,84.0,5
2011,172000,Diesel,Individual,Manual,Second Owner,17.88,1396,52.8,5
2017,36000,Diesel,Dealer,Manual,First Owner,13.68,2393,147.8,8
2015,91000,Diesel,Individual,Manual,Third Owner,24.4,1120,71.0,5
2017,65000,Petrol,Individual,Manual,Second Owner,20.51,998,67.04,5
2013,20000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5
2011,28100,Petrol,Individual,Manual,First Owner,19.3,1248,82.0,5
2017,7000,Petrol,Dealer,Automatic,Second Owner,14.53,1794,138.1,5
2013,212000,Diesel,Individual,Manual,First Owner,21.64,1461,84.8,5
2010,80000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796,46.3,5
1999,65000,Petrol,Individual,Manual,Fourth & Above Owner,15.9,1298,85.0,5
2016,80000,Petrol,Individual,Manual,Second Owner,18.9,1197,82.0,5
2012,50000,Petrol,Individual,Manual,First Owner,20.92,998,67.1,5
2019,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995,190.0,5
2018,30000,Diesel,Individual,Manual,First Owner,25.5,1498,98.6,5
2016,80000,Diesel,Individual,Automatic,First Owner,10.91,3198,197.0,7
2015,60000,Petrol,Individual,Manual,First Owner,25.4,624,37.48,4
2018,60000,Petrol,Individual,Manual,First Owner,18.15,1198,82.0,6
2017,37000,Diesel,Dealer,Automatic,First Owner,13.5,2987,254.79,5
2018,35000,Petrol,Individual,Manual,First Owner,20.3,1199,84.0,5
2016,30000,Diesel,Individual,Manual,First Owner,24.0,1120,70.0,5
2018,44000,Diesel,Individual,Automatic,First Owner,17.01,1582,126.2,5
2011,105000,Diesel,Individual,Manual,Second Owner,21.9,1396,90.0,5
2016,42163,Diesel,Dealer,Automatic,Second Owner,11.36,2755,171.5,7
2007,73257,Petrol,Individual,Manual,First Owner,16.1,796,37.0,4
2009,70000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796,46.3,5
2017,50000,Diesel,Individual,Manual,First Owner,27.3,1498,98.6,5
2017,40000,Petrol,Individual,Automatic,First Owner,19.0,1199,88.7,5
2016,65000,Petrol,Individual,Manual,Second Owner,22.74,796,47.3,5
2016,120000,Diesel,Individual,Manual,Third Owner,26.59,1248,74.0,5
2016,53000,Diesel,Dealer,Manual,First Owner,22.54,1396,88.73,5
2016,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2,1199,88.7,5
2010,48000,Petrol,Individual,Manual,First Owner,15.8,1172,65.0,5
2013,120000,Petrol,Individual,Manual,First Owner,18.5,1197,82.85,5
2013,58343,Petrol,Trustmark Dealer,Manual,First Owner,21.79,998,67.05,5
2008,80000,LPG,Individual,Manual,Second Owner,17.3,1061,57.5,5
2016,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2,1199,88.7,5
2011,80000,Diesel,Individual,Manual,Third Owner,11.57,2179,138.1,7
2018,20000,Petrol,Individual,Automatic,First Owner,23.0,999,67.0,5
2013,60000,Petrol,Individual,Manual,Fourth & Above Owner,22.74,796,47.3,5
2017,40000,Petrol,Individual,Manual,First Owner,16.8,796,34.2,8
2014,121000,Petrol,Dealer,Manual,First Owner,19.1,1197,82.0,5
1998,110000,Petrol,Individual,Manual,Third Owner,13.1,1598,77.0,5
2014,100000,Petrol,Individual,Manual,First Owner,23.95,998,67.05,5
2013,100600,Diesel,Individual,Manual,Third Owner,20.46,1461,83.8,5
2011,90000,Diesel,Individual,Manual,Second Owner,13.55,2179,118.35,7
2013,70000,Diesel,Individual,Manual,Second Owner,21.9,1396,88.76,5
2011,100000,Petrol,Individual,Manual,Second Owner,15.37,1196,73.0,7
2017,30000,Petrol,Individual,Automatic,Second Owner,23.1,998,67.04,5
2013,68000,Diesel,Individual,Manual,First Owner,22.1,1248,76.9,5
2010,83585,Diesel,Dealer,Manual,First Owner,21.43,1364,87.2,5
2015,87847,Diesel,Dealer,Manual,First Owner,28.4,1248,74.0,5
2017,30000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5
2019,22000,Petrol,Individual,Manual,First Owner,17.0,1197,110.0,5
2011,93500,Diesel,Individual,Manual,Second Owner,18.6,1388,67.0,5
2018,47000,Petrol,Dealer,Manual,Second Owner,16.02,1373,93.7,7
2017,50000,Diesel,Individual,Manual,First Owner,17.1,1956,170.0,5
2018,25000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5
2012,58400,Diesel,Individual,Manual,Second Owner,19.3,1248,73.9,5
2017,70000,Diesel,Individual,Manual,First Owner,18.49,1493,100.0,7
2017,80000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5
2019,15000,Diesel,Individual,Manual,First Owner,25.1,1248,88.5,5
2010,56000,Petrol,Individual,Manual,Third Owner,17.92,1086,62.1,5
2007,63000,Petrol,Individual,Automatic,Third Owner,18.9,1061,67.0,5
2011,65000,Petrol,Individual,Automatic,Third Owner,12.6,1586,103.3,5
2016,50000,Diesel,Individual,Manual,First Owner,18.49,1493,100.0,7
2010,60000,Petrol,Individual,Manual,First Owner,15.26,1150,74.9,5
2015,160000,Diesel,Individual,Manual,Second Owner,13.5,2477,178.0,7
2018,25000,Petrol,Individual,Manual,First Owner,23.84,1199,84.0,5
2018,5500,Petrol,Individual,Manual,First Owner,17.4,1497,117.6,5
2015,39000,Petrol,Dealer,Manual,First Owner,17.4,1497,117.3,5
2009,140000,Diesel,Individual,Manual,Second Owner,13.8,1399,68.0,5
2001,70000,Petrol,Individual,Manual,Second Owner,19.3,1248,82.0,5
2017,26000,Petrol,Individual,Automatic,First Owner,19.34,1198,76.0,5
2008,120000,Diesel,Individual,Manual,Fourth & Above Owner,12.7,2609,120.0,8
2007,260000,Diesel,Individual,Manual,Third Owner,12.8,2494,102.0,7
2012,60000,Petrol,Individual,Manual,Third Owner,19.3,1248,82.0,5
2012,125000,Diesel,Individual,Manual,Second Owner,21.43,1364,87.2,5
2011,140000,Petrol,Individual,Automatic,Second Owner,14.4,1598,103.6,5
2018,2000,Diesel,Dealer,Automatic,First Owner,16.8,1984,150.0,5
2015,35000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5
2008,95200,Petrol,Individual,Manual,Third Owner,13.2,1495,94.0,5
2017,80000,Diesel,Individual,Manual,First Owner,16.5,1493,70.0,7
2018,2000,Diesel,Dealer,Automatic,First Owner,16.8,1984,150.0,5
2011,119000,Diesel,Individual,Manual,Second Owner,16.52,1991,123.7,5
2016,110000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5
2014,25000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5
2016,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598,103.5,5
2015,61000,Diesel,Dealer,Manual,Second Owner,22.71,1461,84.8,5
2012,70000,Diesel,Individual,Manual,Second Owner,23.2,1248,73.94,5
2014,25000,Diesel,Individual,Manual,First Owner,15.4,2179,120.0,9
2015,50000,Petrol,Individual,Manual,Second Owner,20.51,998,67.04,5
2003,36088,Petrol,Individual,Manual,First Owner,16.1,796,37.0,4
2013,110000,Diesel,Individual,Manual,Second Owner,21.27,1396,88.76,5
2018,38817,Diesel,Dealer,Manual,First Owner,27.39,1248,74.0,5
2018,2000,Diesel,Dealer,Automatic,First Owner,16.8,1984,150.0,5
2015,135000,Diesel,Individual,Manual,First Owner,22.77,1498,98.59,5
2017,113000,Diesel,Individual,Manual,First Owner,25.83,1498,99.0,5
2019,8500,Diesel,Dealer,Automatic,First Owner,16.78,1995,190.0,5
2012,120000,Petrol,Individual,Manual,First Owner,18.5,1197,82.85,5
2013,120000,Diesel,Individual,Manual,Fourth & Above Owner,22.9,1248,74.0,5
2012,70000,Diesel,Individual,Manual,Second Owner,25.44,936,57.6,5
2013,40000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5
2015,60000,Diesel,Individual,Manual,First Owner,13.93,2179,138.03,7
2019,7032,Petrol,Trustmark Dealer,Automatic,First Owner,19.0,1199,88.76,5
2014,90000,Diesel,Individual,Manual,First Owner,25.0,1396,69.0,5
2008,120000,Diesel,Individual,Manual,Third Owner,14.8,1998,68.0,5
2018,7000,Petrol,Individual,Manual,First Owner,22.5,999,67.0,5
2016,120000,Petrol,Individual,Manual,Second Owner,17.19,1197,81.86,5
2016,120000,Diesel,Individual,Automatic,First Owner,11.36,2755,171.5,7
2007,38000,Petrol,Individual,Manual,Second Owner,15.3,1193,65.3,5
2003,120000,Diesel,Individual,Manual,Third Owner,12.7,2609,116.6,8
2013,18000,Diesel,Individual,Manual,First Owner,15.1,2179,140.0,7
2018,13887,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,5
2017,28000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5
2016,40000,Petrol,Individual,Manual,First Owner,16.8,796,34.2,5
2014,20000,Petrol,Individual,Manual,First Owner,21.1,814,55.2,5
2018,30000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,5
2018,30000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5
2014,38000,Diesel,Individual,Manual,First Owner,22.1,1248,74.0,5
2004,60000,Diesel,Individual,Manual,Third Owner,16.1,1405,70.0,5
2013,40000,Petrol,Individual,Manual,Second Owner,21.1,814,55.2,5
2016,35000,Petrol,Individual,Manual,First Owner,17.0,1198,73.75,5
2010,90000,Diesel,Individual,Manual,First Owner,14.0,1948,90.0,9
2006,40000,Petrol,Individual,Manual,Third Owner,16.1,796,37.0,4
2015,60000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5
2018,59000,Diesel,Individual,Manual,First Owner,24.2,1498,93.87,7
2016,60000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5
2018,15000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,5
2016,110000,Diesel,Individual,Manual,Second Owner,18.2,1248,73.74,7
2010,55000,Petrol,Individual,Manual,First Owner,19.0,998,67.1,5
2015,80000,Petrol,Individual,Manual,First Owner,19.49,1198,67.04,5
2010,120000,Diesel,Individual,Manual,Second Owner,11.8,1991,150.0,5
2017,25538,Petrol,Trustmark Dealer,Manual,First Owner,16.78,1496,88.73,5
2018,50000,Diesel,Individual,Manual,First Owner,23.5,909,45.0,8
2016,80000,Diesel,Individual,Manual,First Owner,23.9,1582,126.2,5
2016,68089,Petrol,Trustmark Dealer,Automatic,First Owner,19.16,2494,157.7,5
2006,140000,Diesel,Individual,Manual,Second Owner,12.8,2494,102.0,8
2013,68697,Petrol,Individual,Manual,Third Owner,21.1,814,55.2,5
2011,116500,Diesel,Individual,Manual,First Owner,23.0,1396,90.0,5
2012,40000,Petrol,Individual,Manual,First Owner,18.5,1197,85.8,5
2015,160000,Diesel,Individual,Manual,Second Owner,13.5,2477,178.0,7
2016,68089,Petrol,Trustmark Dealer,Automatic,First Owner,19.16,2494,157.7,5
2017,51000,Petrol,Dealer,Automatic,First Owner,19.56,1197,81.8,5
2010,170000,Diesel,Individual,Manual,Second Owner,17.8,1399,68.0,5
2011,25000,Petrol,Individual,Manual,Second Owner,26.0,624,35.0,4
2018,28451,Petrol,Dealer,Manual,First Owner,18.6,1197,81.83,5
2017,60000,CNG,Individual,Manual,First Owner,21.94,1196,61.7,5
2014,60000,Diesel,Individual,Manual,Second Owner,12.99,2494,100.6,7
2018,64000,Petrol,Dealer,Manual,First Owner,20.65,1462,103.25,5
2016,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2,1199,88.7,5
2017,32000,Diesel,Individual,Manual,First Owner,16.3,1956,170.0,5
2018,100000,Diesel,Dealer,Automatic,First Owner,12.9,2755,174.5,7
2018,69779,Petrol,Dealer,Automatic,First Owner,22.0,1197,81.8,5
2016,16151,Petrol,Dealer,Manual,First Owner,17.8,1497,117.3,5
2007,74800,Petrol,Individual,Manual,Second Owner,18.2,998,67.1,5
2016,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598,103.5,5
2018,65000,Diesel,Individual,Manual,First Owner,23.0,1498,98.96,5
2009,180000,Diesel,Individual,Manual,First Owner,13.6,1991,142.0,5
2013,58343,Petrol,Trustmark Dealer,Manual,First Owner,21.79,998,67.05,5
2017,58559,Diesel,Dealer,Manual,First Owner,25.2,1248,74.0,5
2016,53000,Diesel,Dealer,Manual,First Owner,22.54,1396,88.73,5
2008,120000,Diesel,Individual,Manual,Second Owner,11.57,2179,138.1,7
2017,40000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,5
2017,40000,Diesel,Dealer,Manual,First Owner,18.49,1493,100.0,7
2012,96000,Diesel,Individual,Manual,Second Owner,20.77,1248,88.8,7
2018,46000,Diesel,Individual,Manual,First Owner,28.4,1248,74.0,5
2017,28832,Diesel,Dealer,Manual,First Owner,23.4,1248,74.0,5
2018,70000,Diesel,Individual,Manual,First Owner,16.5,1493,70.0,7
2019,3100,Petrol,Individual,Automatic,First Owner,18.2,1199,88.7,5
2004,46000,Petrol,Individual,Manual,Fourth & Above Owner,16.1,796,37.0,4
2013,68000,Diesel,Individual,Manual,Second Owner,25.44,936,57.6,5
2010,70000,LPG,Individual,Manual,Third Owner,13.45,1086,62.1,5
2017,71000,Diesel,Individual,Manual,First Owner,27.39,1248,74.0,5
2020,2000,Petrol,Dealer,Manual,First Owner,20.7,1197,81.86,5
2016,110000,Diesel,Individual,Manual,First Owner,23.0,1248,88.7,5
2019,40000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5
2018,50000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5
2009,160000,Petrol,Individual,Manual,Third Owner,17.5,1197,85.8,5
2011,221889,Diesel,Dealer,Manual,First Owner,22.32,1582,126.32,5
2017,15000,Petrol,Individual,Automatic,First Owner,17.01,1591,121.3,5
2011,116500,Diesel,Individual,Manual,First Owner,23.0,1396,90.0,5
2019,5000,Petrol,Individual,Manual,First Owner,20.0,999,72.0,7
2017,25000,Petrol,Individual,Manual,First Owner,20.14,1197,81.86,5
2016,70000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5
2011,100000,Diesel,Individual,Manual,Second Owner,23.0,1396,90.0,5
2014,48000,Petrol,Individual,Manual,First Owner,23.1,998,67.04,5
2017,5000,Petrol,Individual,Manual,Second Owner,18.15,1198,82.0,6
2006,270000,Diesel,Individual,Manual,Third Owner,12.8,2494,102.0,8
2009,95000,Petrol,Individual,Manual,Second Owner,19.0,998,66.1,5
2017,60000,Diesel,Individual,Manual,First Owner,24.0,1186,73.97,5
2012,40000,Petrol,Individual,Manual,Second Owner,25.4,624,38.0,4
2014,70000,CNG,Individual,Manual,Second Owner,21.94,1196,61.7,5
2013,80000,Diesel,Individual,Manual,Second Owner,20.46,1461,83.8,5
2019,9000,Petrol,Dealer,Automatic,First Owner,21.63,998,67.04,5
2014,70000,Diesel,Individual,Manual,Second Owner,22.54,1396,88.73,5
2014,97000,Diesel,Individual,Manual,First Owner,26.0,1498,98.6,5
2016,100000,Diesel,Individual,Manual,First Owner,25.32,1198,77.0,6
2015,25000,Petrol,Individual,Manual,First Owner,15.85,1499,110.4,5
2014,95000,Diesel,Individual,Manual,Second Owner,14.02,2179,118.3,8
2018,58511,Diesel,Dealer,Manual,First Owner,24.3,1248,88.5,5
2013,40000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5
2012,110000,Diesel,Individual,Manual,Third Owner,19.01,1461,108.45,5
2016,72000,Diesel,Individual,Manual,First Owner,15.96,2523,63.0,9
2004,120000,Petrol,Individual,Manual,Third Owner,18.9,998,67.1,5
2016,70000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5
2009,300000,Diesel,Individual,Manual,First Owner,14.0,2498,112.0,7
2015,40000,Diesel,Individual,Manual,First Owner,15.96,2523,62.1,7
2015,110000,Diesel,Individual,Manual,First Owner,14.1,2179,147.94,7
2012,90000,Diesel,Individual,Manual,First Owner,23.0,1396,90.0,5
2015,30000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5
2015,80000,Diesel,Individual,Manual,Second Owner,23.9,1582,126.2,5
2010,110000,Petrol,Individual,Automatic,Third Owner,16.95,1197,78.9,5
2016,40000,Diesel,Individual,Manual,First Owner,21.19,1396,88.73,5
2014,35000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5
2012,120000,Petrol,Individual,Manual,First Owner,18.6,1199,79.4,5
2013,69000,Diesel,Dealer,Manual,First Owner,18.6,1388,67.0,5
2011,250000,Diesel,Individual,Manual,Second Owner,12.8,2494,102.0,7
2009,100000,Petrol,Individual,Manual,First Owner,19.7,796,46.3,5
2012,80000,Diesel,Individual,Manual,Fourth & Above Owner,21.5,1248,88.8,5
2011,110000,Diesel,Individual,Manual,Third Owner,23.08,1461,63.1,5
2017,13000,Petrol,Individual,Manual,First Owner,18.6,1197,81.83,5
2012,128000,Diesel,Individual,Manual,Second Owner,22.32,1582,126.32,5
2018,30000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,5
2018,59736,Diesel,Dealer,Manual,First Owner,18.49,1493,100.0,7
2009,120000,Diesel,Individual,Manual,First Owner,18.1,1493,110.0,5
2020,15000,Petrol,Individual,Manual,First Owner,22.05,796,47.3,5
2015,60000,Diesel,Dealer,Manual,First Owner,25.47,1248,88.5,7
2011,90400,Diesel,Individual,Manual,First Owner,20.0,1399,68.0,5
2012,145000,Diesel,Individual,Manual,Second Owner,12.99,2494,100.0,8
2018,120000,Petrol,Individual,Manual,First Owner,18.9,1197,81.86,5
2012,74000,Diesel,Individual,Manual,Second Owner,22.07,1199,73.9,5
2011,69000,Diesel,Individual,Manual,Second Owner,20.54,1598,103.6,5
2017,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999,177.0,5
2018,82000,Diesel,Individual,Manual,First Owner,28.09,1248,88.5,5
